id,estado,fc,fm,um,sql,uc_id
1,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,HERRAMIENTA,1
2,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,LIMPIEZA,1
3,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,REFACCIONES PARA MOT,1
4,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,EQUIPO DE SEGURIDAD,1
5,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,TORNILLERIA,1
6,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,EMPAQUE,1
7,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,FERRETERIA,1
8,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,FILTROS,1
9,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,MATERIAL ELECTRICO T,1
10,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,LLANTAS,1
11,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,PAPELERIA,1
12,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,RODAMIENTOS TRANSPOR,1
13,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,ACEROS Y MALLAS,1
14,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,SOLDADURA Y ACEROS,1
15,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,SUSPENSIÃ“N Y FRENOS,1
16,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,CONEXIONES DE AIRE,1
17,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,REFACIONES TOLVA,1
18,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,REFACCIONES CABINA E,1
19,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,ACCESORIOS PARA TRAN,1
20,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,COMPUTO EQUIPO Y ACC,1
21,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,ACEITES Y LUBRICANTE,1
22,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,MATERIAL ELECTRICO I,1
23,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,RODAMIENTOS PLANTA,1
24,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,BANDAS,1
25,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,General,1
26,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,MATERIAL DE OBRA,1
27,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,LONAS TRANSPORTE,1
28,1,2020-01-01 01:01:01.111111,2020-01-01 01:01:01.111111,,REFACCIONES MONTACAR,1
